Document name,Authoring country,Type,Document description,Document type,File publish date
For the Prevention and Combat of Infectious Diseases,Albania,DIS,This law describes the requirements of citizens and the government of Albania to prevent and respond to infectious diseases. Mandatory childhood vaccinations and emergency vaccination provisions are included. ,Legislation,19-Oct-93
Law No. 18-11 - Relating to Health,Algeria,PH,This document outlines the legal measures that may be taken to combat infectious diseases and promote public health in Algeria. Broad language granting both national and subnational actors the authority to take measures to prevent disease encompasses both quarantine and isolation authority.,Legislation,2-Jul-18
Decree no. 69-88 - Making certain vaccinations compulsory,Algeria,Vaxx,This decree mandates certain routine vaccinations for children and allows the government to state compulsory emergency vaccinations. The decree also sets out penalties. ,Other,17-Jun-69
Decree to Modify the Regulation on the Plan for Systematic and Obligatory Vaccination,Andorra,Vaxx,This decree states the mandatory childhood vaccinations in Andorra and contains social exclusion as the enforcement mechanism. ,Legislation,20-Jun-07
The Education Act,Antigua and Barbuda,Ed,"This document outlines the rules and requirements for education of pupils in Antigua and Barbuda. Notably, the document states that immunization is a prerequisite to admission to any public school. ",Legislation,4-Apr-73
Public health law 27491 Control of diseases preventable by vaccination,Argentina,Vaxx,"This law establishes the legal basis for mandatory vaccination in Argentina. Articles 6 and 7 state that an application authority has the right to set the National Vaccine Calendar and that all included vaccines are mandatory for anyone residing in the country. Article 7 further states that, in an epidemiological emergency situation, all vaccines deemed by the application authority to be necessary to quell the outbreak would become mandatory. The law also requires that employers provide a day of paid leave for parents/guardians taking their dependents to receive these vaccinations. Article 13 outlines the enforcement mechanisms, which include multiple levels of social exclusion and inability for parents to receive family allowances. Additionally, Article 14 allows sanctions to be determined by local health authorities, and states that sanctions may range from notification of delinquency to compulsory vaccination. Finally, Article 21 states that an unwillingness to be vaccinated is not a valid rationale for non-compliance with the law, and requires that individuals unable to receive a vaccine due to a medical contraindication be provided with a certificate stating this medical reason for non-vaccination from a healthcare provider. ",Legislation,12-Dec-18
A New Tax System (Family Assistance) Act 1999,Australia,Tax,"This document describes the tax subsidy system of Australia for families. Importantly, the system includes a reduced subsidy for parents that refuse to vaccinate their children. ",Legislation,28-Nov-23
An Act to promote general vaccination,Bahamas,Vaxx,This law describes the requirements for smallpox vaccination in the Bahamas. ,Legislation,"April 12, 1860"
"Health Services (Communicable and Notifiable Diseases) Regulations, 1969",Barbados,DIS,These regulations state the permissible activities of the government to prevent and control the spread of infectious diseases in Barbados. ,Regulation,29-Oct-69
Royal Decree making vaccination against poliomyelitis mandatory,Belgium,PH,"This decree states that all children born in Belgium must receive a vaccination against poliomyelitis within 18 months of their birth. This vaccination will be provided for free and will be administered by a local healthcare professional. Medical contraindications to the vaccine must be documented after assessment by the healthcare professional. Either certification of vaccination or medical contraindication must be registered with the local government within 15 days of the last dose of the vaccination. Parents that do not comply with the law will be penalized in accordance with enforcement mechanisms outlined in The Health Law of September 1, 1945. ",Other,26-Oct-66
Public Health Act,Belize,PH,This act outlines the public health rights and responsibilities of the government and citizens of Belize. The law provides the Minister with powers to make regulations for isolation of tuberculosis and leprosy.,Legislation,31-Dec-20
Law No. 2015-08 on the Child Code in the Republic of Benin,Benin,Kid,"This document describes the rights of children in Benin. Importantly, parents are obligated to vaccinate their children. ",Legislation,26-Nov-15
