Country,Subtopic link,Status link,Status justification,iso_a3_eh
Afghanistan,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,AFG
Afghanistan,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,AFG
Afghanistan,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,AFG
Afghanistan,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,AFG
Afghanistan,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",AFG
Albania,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ALB
Albania,Enforcement of childhood vaccination requirement,Legal sanctions,"In Albania, unvaccinated individuals may be fined between 300 and 3000 Lek. ",ALB
Albania,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,ALB
Albania,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ALB
Albania,Enforcement of emergency vaccination,Legal sanctions,Individuals that refuse emergency vaccination can be assessed a fine of 2000 Lek. ,ALB
Algeria,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,DZA
Algeria,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"In Algeria, students can be excluded from schools without documentation of appropriate mandatory vaccinations and a fine can be assessed to parents of an amount between 30-500 dinars. ",DZA
Algeria,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,DZA
Algeria,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,DZA
Algeria,Enforcement of emergency vaccination,Legal sanctions,Individuals that refuse emergency vaccination can be assessed a fine between 30-500 dinars. ,DZA
Andorra,Childhood vaccination requirement,Childhood vaccination is required,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,AND
Andorra,Enforcement of childhood vaccination requirement,Social exclusion,Unvaccinated children in Andorra may not register for schools or nurseries. ,AND
Andorra,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,AND
Andorra,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,AND
Andorra,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",AND
Angola,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,AGO
Angola,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,AGO
Angola,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,AGO
Angola,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,AGO
Angola,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",AGO
Antigua and Barbuda,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ATG
Antigua and Barbuda,Enforcement of childhood vaccination requirement,Social exclusion,"In Antigua and Barbuda, children without the mandatory vaccinations cannot be admitted to public schools. ",ATG
Antigua and Barbuda,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,ATG
Antigua and Barbuda,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ATG
Antigua and Barbuda,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",ATG
Argentina,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ARG
Argentina,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"In Argentina, unvaccinated individuals may experience social exclusion from schools, and lack of vaccinations can affect processing of IDs, passports, residence paperwork, prenuptial certificates and driver's licenses. Additionally, financial levers are used, as certification of vaccination is required for the processing of family allowances. ",ARG
Argentina,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,ARG
Argentina,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ARG
Argentina,Enforcement of emergency vaccination,2 or more enforcement mechanisms,"In Argentina, failure to receive an emergency vaccination can result in a criminalization, which varies regionally, and/or forcible vaccination. ",ARG
Armenia,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ARM
Armenia,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ARM
Armenia,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ARM
Armenia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ARM
Armenia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",ARM
