Name,Country,Publication,Entry_Force,Disease
For the Prevention and Combat of Infectious Diseases,Albania,19-Oct-93,19-Oct-93,"Diphtheria,Pertussis,Tetanus,Measles,Mumps,Rubella,Polio,Tuberculosis (all forms),Rotavirus,Streptococcus pneumoniae,Hepatitis B,Haemophilus influenzae type B"
Law No. 18-11 Relating to Health,Algeria,2-Jul-18,2-Jul-18,
"Decree no. 69-88 of June 17, 1969. making certain vaccinations compulsory",Algeria,17-Jun-69,17-Jun-69,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Polio,Smallpox"
Decree to Modify the Regulation on the Plan for Systematic and Obligatory Vaccination,Andorra,20-Jun-07,5-Jul-07,"Diphtheria,Tetanus,Pertussis,Haemophilus influenzae type B,Hepatitis B,Measles,meningococcal disease,Polio,Streptococcus pneumoniae,Mumps,Rubella"
The Education Act,Antigua and Barbuda,4-Apr-73,4-Apr-73,"Diphtheria,Pertussis,Polio,Tetanus"
Public health law 27491 Control of diseases preventable by vaccination,Argentina,12-Dec-18,11-Apr-19,"Measles,Mumps,Rubella,Polio,Tuberculosis (all forms),Pertussis,Tetanus,Diphtheria,Hepatitis B,Haemophilus influenzae type B,Varicella,Rotavirus,Hepatitis A,Streptococcus pneumoniae,Human Papillomavirus,Influenza"
National Vaccine Calendar,Argentina,1-Jan-22,1-Jan-22,
A New Tax System (Family Assistance) Act 1999,Australia,1-Jan-99,26-Nov-15,
Family Assistance (Immunisation Principles and Vaccination Schedules) (DSS) Determination 2018,Australia,22-Jun-18,22-Jun-18,"Diphtheria,Tetanus,Pertussis,Polio,Haemophilus influenzae type B,Hepatitis B,Streptococcus pneumoniae,Measles,Mumps,Rubella,meningococcal disease,Varicella"
About immunoprophylaxis of infectious diseases,Azerbaijan,14-Apr-00,14-Apr-00,
An Act to promote general vaccination,Bahamas,"April 12, 1860","April 12, 1860",Smallpox
Law No. 34 of 2018 promulgating the Public Health Law,Bahrain,26-Jul-18,26-Jul-18,"Tuberculosis (all forms),Diphtheria,Pertussis,Tetanus,Hepatitis A,Hepatitis B,Streptococcus pneumoniae,Rotavirus,Polio,Measles,Mumps,Rubella,Varicella,meningococcal disease"
"Infectious Diseases (Prevention, Control and Elimination) Act, 2018",Bangladesh,14-Nov-18,14-Nov-18,
"Health Services (Communicable and Notifiable Diseases) Regulations, 1969",Barbados,29-Oct-69,1-Dec-69,"Diphtheria,Tetanus,Polio,Measles"
Royal Decree making vaccination against poliomyelitis mandatory,Belgium,26-Oct-66,1-Jan-67,Polio
"Health Act of September 1, 1945",Belgium,10-Oct-45,20-Oct-45,
Public Health Act,Belize,15-Nov-43,31-Dec-20,Smallpox
Law No. 2015-08 on the Child Code in the Republic of Benin,Benin,26-Nov-15,26-Nov-15,"Tuberculosis (all forms),Measles,Polio,Diphtheria,Tetanus,Pertussis,Yellow Fever"
Immunization of Children and Pregnant Mothers,Bhutan,26-Feb-88,26-Feb-88,"Diphtheria,Pertussis,Tetanus,Measles,Tuberculosis (all forms),Polio"
Health Code of Bolivia,Bolivia (Plurinational State of),20-Jul-78,20-Jul-78,
Law on the Protection of the Population from Infectious Diseases,Bosnia and Herzegovina,1-Jan-05,9-Jan-05,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Polio,Measles,Mumps,Rubella,Hepatitis B,Haemophilus influenzae type B"
Public Health Act (Chapter 63:01),Botswana,3-Feb-14,3-Feb-14,"Tuberculosis (all forms),Haemophilus influenzae type B,Polio,Measles,Hepatitis B,Rotavirus,Streptococcus pneumoniae,Diphtheria,Pertussis,Tetanus"
"LAW No. 6,259, of October 30, 1975",Brazil,30-Oct-75,30-Oct-75,"Tuberculosis (all forms),Hepatitis B,Diphtheria,Tetanus,Pertussis,Haemophilus influenzae type B,Polio,Streptococcus pneumoniae,Rotavirus,meningococcal disease,Influenza,COVID-19,Yellow Fever,Measles,Mumps,Rubella,Human Papillomavirus,Varicella"
"Child and Adolescent Statute, 1990",Brazil,13-Jul-90,13-Jul-90,
Chapter 204 Infectious Diseases,Brunei Darussalam,1-Jan-10,1-Jan-10,"Diphtheria,Tetanus,Pertussis,Hepatitis B,Haemophilus influenzae type B,Measles,Mumps,Rubella,Tuberculosis (all forms)"
Health Law,Bulgaria,1-Jan-05,1-Jan-05,"Tuberculosis (all forms),Hepatitis B,Diphtheria,Tetanus,Pertussis,Polio,Haemophilus influenzae type B,Streptococcus pneumoniae,Measles,Mumps,Rubella"
Public Health Code,Burkina Faso,19-May-94,22-Apr-05,"Diphtheria,Tetanus,Pertussis,Haemophilus influenzae type B,Hepatitis B,Tuberculosis (all forms),Measles,Rubella,meningococcal disease,Streptococcus pneumoniae,Polio,Rotavirus,Yellow Fever"
Public Health Code,Burundi,17-May-82,17-May-82,
Law on Preventive Measures against the Spread of COVID-19 and Other Severe and Dangerous Contagious Diseases (NS/RKM/0321/004),Cambodia,11-Mar-21,11-Mar-21,
1967 Sanitary Code,Chile,11-Dec-67,31-Jan-68,
Provides Mandatory Vaccination Against Immune Preventable Diseases of the Country's Population,Chile,16-Sep-21,25-Sep-21,"Measles,Mumps,Rubella,Polio,Tuberculosis (all forms),Pertussis,Tetanus,Diphtheria,Hepatitis B,Haemophilus influenzae type B,Varicella,Streptococcus pneumoniae,Influenza"
Communicable Disease Control Act,Chinese Taipei (Taiwan; Republic of China; ROC),6-Dec-44,28-Jun-23,"Diphtheria,Tetanus,Pertussis,Polio,Haemophilus influenzae type B,Hepatitis B,Measles,Mumps,Rubella,Varicella,Streptococcus pneumoniae,Japanese Encephalitis,Hepatitis A"
Public Hygiene Law,Colombia,7-Dec-22,7-Dec-22,Smallpox
Decree 2287 of 2003,Colombia,12-Aug-03,12-Aug-03,"Tuberculosis (all forms),Polio,Haemophilus influenzae type B,Hepatitis B,Rotavirus,Streptococcus pneumoniae,Measles,Mumps,Rubella,Yellow Fever,Influenza,Diphtheria,Tetanus,Pertussis"
Code of Public Health and Social Action for the Well-Being of the Population,Comoros,24-Jun-94,24-Jun-95,"Diphtheria,Pertussis,Tetanus,Haemophilus influenzae type B,Hepatitis B,Measles,Rubella,Polio,Tuberculosis (all forms)"
General Law of Health,Costa Rica,24-Nov-73,24-Feb-74,"Tuberculosis (all forms),Hepatitis B,Haemophilus influenzae type B,Polio,Diphtheria,Pertussis,Tetanus,Measles,Mumps,Rubella,Rotavirus,Streptococcus pneumoniae,Human Papillomavirus,Influenza,Varicella,COVID-19"
Law on the Protection of the Population from Infectious Diseases,Croatia,13-Jul-07,21-Jul-07,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Polio,Measles,Rubella,Mumps,Hepatitis B,Haemophilus influenzae type B"
Public Health Protection Act 2000,Czechia (Czech Republic),8-Nov-00,1-Jan-01,
Decree of the Ministry of Health on vaccination against infectious diseases,Czechia (Czech Republic),15-Dec-00,1-Jan-01,"Tuberculosis (all forms),Diphtheria,Tetanus,Pertussis,Haemophilus influenzae type B,Polio,Measles,Mumps,Rubella,Hepatitis B,Hepatitis A,Streptococcus pneumoniae"
"Law No. 18/035 of December 13, 2018 Establishing the Fundamental Principles relating to the Organization of Public Health",Democratic Republic of Congo (DRC),13-Dec-18,13-Mar-19,"Tetanus,Diphtheria,Pertussis,Haemophilus influenzae type B,Hepatitis B,Measles,Mumps,Rubella,Streptococcus pneumoniae,Polio,Rotavirus,Tuberculosis (all forms),Yellow Fever"
Compulsory Vaccination Act,Dominica,1-Jan-91,1-Jan-91,Smallpox
